NGSL Rank	Word	IPA	Conjugations	Synonyms	English	Russian
834	file	f?a?l	"files; filed; filing"	"organize; dossier; procession; scrape; categorize; heading; smooth; rasp; keep; sort; troop; dossier; information; sleeve; store; march; parade; folder; row; chafe; funnel; profile; record; report; summary; column; sand; sandpaper; rub; case; organizer; record; line"	"dossier, collection of documents on a subject; collection of computer data which is stored under one filename (Computers); file folder; tool for smoothing surfaces; line, queue"	"напильник, пилочка; отделка, полировка; ловкач; скоросшиватель, регистратор для бумаг, регистратор, подшитые бумаги, подшивка, дело, досье, картотека, файл; ряд, шеренга, колонна, очередь, хвост; вертикаль; компьютерная информация сгуппированная и сохраненная под одним именем (файл) [комп.]"
835	middle	m??d?l	middles	"medium; medium; average; focus; mid; midpoint; intermediate; center; median; hub; interior; intermediate; core; internal; inside; heart; central; inner"	"central; equally distant from two extremes, halfway; mean; mediocre"	средний
836	bar	b??r	"bars; bared; baring"	"tablet; rod; restrict; stick; impediment; restriction; bolt; restrain; obstruct; hindrance; forbid; obstruction; secure; lock; excluding; ingot; rail; stop; inn; block; block; barricade; but; shaft; prohibit; saloon; exclude; debar; prevent; staff; impede; ban; fasten; slab; hinder; except; tavern; piece; pole; block; barrier; save"	"rod; latch, bolt; partition; barrier; pub, tavern; counter; restriction; examination to enter the organization which authorizes lawyers and oversees the law profession; lawyers collectively"	"плитка, кусок; закусочная, бар, буфет; пруток [тех.], пластина, планка, стержень [тех.], брусок, брус; заготовка, болванка, чушка; штык; вага; засов; застава; решетка; нанос песка, мелководье, отмель; бур, штанга бура; такт [муз.], тактовая черта [муз.]; пряжка на орденской ленте; барьер, преграда, препятствие; суд, адвокатура"
837	suffer	s??f?	"suffers; suffered; suffering"	"bear; undergo; experience; endure"	"feel pain, experience loss or harm, endure misfortune; be punished; tolerate, endure; stand, bear; allow, permit"	страдать, выстрадать, испытывать, вытерпеть, претерпевать, потерпеть, терпеть, сносить, позволять, дозволять
838	strategy	str??t?d?i	strategies	"plan; tactic; stratagem; policy; approach"	"plans or methods created for the purpose of achieving a goal; science of preparing long-term battle plans (Military)"	стратегия, оперативное искусство
839	deep	d?ip	"deeper; deepest"	"profound; serious; terrible; concentrated; rumbling; hidden; subconscious; grave; immersed; meaningful; silent; profound; bottomless; yawning; inherent; absorbed; low; extreme; entrenched; arcane; cavernous; secret; pressing; multifaceted; resonant; unfathomable; subterranean; mysterious; great; bad; intense; booming; bass; sonorous; profound; rich; mysterious; innate; untold"	"having a great depth, extending far below the surface; reaching far into space; profound, difficult to fathom; low-pitched; dark (as of a color)"	"глубокий, глубинный, погруженный; поглощенный, занятый; серьезный, не поверхностный; таинственный, труднопостигаемый; беспробудный; насыщенный, темный, густой; низкий (о звуке)"
840	except	?ks??pt	"excepts; excepted; excepting"	"excepting; but; bar; excluding"	besides, but, excluding	за исключением, исключая, кроме
841	clean	kl?in	"cleans; cleaned; cleaning; cleaner; cleanest"	"scour; spotless; sparkling; sanitary; unpolluted; neat; shipshape; spotless; virtuous; wholesome; innocent; scrub; launder; untainted; mop; fresh; pure; wipe; uncontaminated; cleanse; polish; hygienic; vacuum; orderly; good; immaculate; sterile; wash; tidy; dust"	"free from dirt; permissible, legal; smooth; simple; innocent"	"чистый, опрятный, незапятнанный, непорочный; не бывший в употреблении, неисписанный, чистовой; без примеси; хорошо сложенный, гладкий, ровный; искусный, ловкий"
842	tend	t??nd	"tends; tended; tending"	"lean; cultivate"	"be inclined, be disposed; care for, watch over; nurse; service customers"	ухаживать, заботиться, присматривать, обслуживать, пасти, иметь тенденцию, клониться, иметь склонность, направляться, вести в определенном направлении
843	advance	?dv??ns	"advances; advanced; advancing"	"proceed; progress; evolve; improve; develop; enhance; increase; expand; spread; progress; further; loan; fee; development; improvement; spread; progress; expansion; encroachment; innovation; enhancement; increase; progress; momentum; onslaught"	"progress, move forward; promote; propose, suggest; make a payment before it is due"	"продвигаться, идти вперед, наступать; продвигаться вперед, двинуться, продвигать, ускорять, делать успехи, успевать; развиваться, повышаться в должности; выдвигать; повышать в цене, повышать, повышаться, повышаться в цене; ссужать деньги, авансировать, платить авансом; переносить на более ранний срок, опережать"
844	fill	f??l	"fills; filled; filling"	"seal; stop; pervade; plug; charge; impart; satisfy; pack; load; jam; permeate; fulfil; saturate; soak; satiate; stuff; block; imbue; cram"	"put in until full; supply with as much as is needed; satisfy, satiate (one's appetite); put a filling in a dental cavity; meet a need; substitute for, do the job of; supply information; prepare a medical prescription"	"наполнять, наполнить; напустить, наполняться; набить; пломбировать (зуб); насыщать, удовлетворять; назначать; занимать, вселяться; исполнять обязанности"
845	star	st??r	"stars; starred; starring"		"self-illuminating gaseous celestial body, celestial body which is seen on Earth as a small light in the nighttime sky (Astronomy); celebrity (especially an actor or athlete); design with five or six points"	"звезда, светило, звездочка; выдающаяся личность, знаменитый актер; судьба, рок"
846	network	n??tw??k	networks	"group; interact; system; arrangement; net; complex; association"	"web of wires and transmitters for communication; intersecting combination of interconnected components (especially computers); coordinated system involving a number of things or people; group of associated television or radio affiliates"	"сеть, сетка, плетенка, плетение; цепь, схема; радиотрансляционная сеть, телевизионная сеть; многополюсник, четырехполюсник"
847	generally	d???n??li		"commonly; normally; usually"	"mostly; usually, ordinarily; in a general manner"	обычно, как правило, в целом, в общем, в общем смысле, вообще, в большинстве случаев, большей частью
848	operation	??p??e???n	operations	"act; maneuver; business; procedure; outfit; undertaking; setup; surgery; action; company; process; function; venture"	"act of operating; working, performance, handling; venture, undertaking; series of actions, procedure (e.g. mathematical operations); campaign, series of activities to achieve a goal (e.g. military operations); surgery"	"действие, работа, процесс, рабочий процесс; торговая или финансовая операция; операция [мед.]; боевые действия; приведение в действие; разработка; эксплуатация, управление"
849	match	m??t?	"matches; matched; matching"	"contest; reach; fit; meet; equal; attain; counterpart; complement; game; equal; tally; equivalent; competition; bout; harmonize; correspond"	"small combustible stick designed for lighting things afire; competition, game (Sports); equal opponent; partner; something similar; counterweight; person considered suitable for marriage"	"спичка; пара; ровня, равносильный противник; матч, состязание; брак, партия"
850	avoid	?v???d	"avoids; avoided; avoiding"	"shun; prevent; avert; dodge; evade; escape; duck; sidestep; elude; forestall; preclude; circumvent"	"evade, escape; keep away from; prevent, keep from happening; nullify, make void (Law)"	избегать, избежать, сторониться, уклоняться, уклониться, отменять, аннулировать, уничтожать
851	seat	s?it	"seats; seated; seating"		"furniture designed for sitting upon (such as a chair or bench); horizontal part of a chair used for sitting; place to sit; place, location; center of an organization; house, home; buttocks, backside"	"место, место для сидения; сиденье; местонахождение; избирательный округ; билет; место в парламенте; должность, пост; усадьба, посадка; гнездо клапана, седло клапана, опора, основание, опорная поверхность, подкладка, подставка, подстилающая порода"
852	throw	?r?o?	"throws; threw; throwing; thrown"	"fling; fling; bowl; puzzle; baffle; pitch; hurl; lob; toss; bewilder; toss; pitch; heave; perplex; heave; confuse; chuck; cast; lob; bamboozle"	"cast, toss; give birth to young (about animals); amaze, astonish"	"бросать, бросить, кидать, кинуть; запустить, метать, швырять, швыряться, отбрасывать; отелиться; ожеребиться; приводить в замешательство, смущать; накинуть; сбрасывать; менять; валить, положить на обе лопатки, повергнуть; навести; устраивать, закатывать; крутить, вертеть; обрабатывать"
853	task	t??sk	"tasks; tasked; tasking"	"assignment; job; undertaking; duty; brief; chore; errand; commission; charge; mission"	"mission, assignment; obligation; role; burden, load"	задача, задание, урок, урочная работа, норма
854	normal	n??rm?l	normals	"regular; usual; common; natural; typical; average; standard; customary; habitual; conventional; routine; ordinary"	"regular; standard; usual, common"	"нормальный, обыкновенный, обычный, психически нормальный; стандартный, средний; среднеарифметический; физиологический"
855	goal	g?o?l	goals		"target, aim; destination; purpose; place into which a player must put a ball in order to score points against the opposing team (Sports); point scored (Sports)"	"цель, задача, место назначения; ворота [спорт.], гол [спорт.]; финиш; мета"
856	associate	?s?o?si?t	"associates; associated; associating"	"confederate; relate; haunt; subordinate; secondary; assistant; frequent; assort; accomplice; acquaintance; see; colleague; unite; socialize; friend; connect; combine; comrade; ally; link; correlate; mix; partner; junior; companion"	"share company; connect; unite; be a partner; link a specific file type to a specific application (Computers)"	"вступать, присоединяться, соединяться, становиться партнером; ассоциироваться, ассоциировать; общаться; соединять, связывать; связать определенный тип файла с приложением [компьют.]"
857	blue	bl?u	"blues; bluer; bluest"	"sad; low; dejected; downcast; wretched; melancholy; cobalt; navy; sapphire; unhappy; depressed; indigo; down; azure; cerulean; desolate"	color blue, color of the sky or sea	"синий цвет, голубой цвет, синяя краска, голубая краска, синька; небо; море, океан; синяя форменная одежда; хандра; синий чулок"
858	positive	p??z?t?v	positives	"affirmative; confirmed; helpful; activist; sure; convinced; unquestionable; certain; optimistic; explicit; conclusive; constructive; up; categorical; upbeat; confident; definite; decisive; encouraging; clear; assured; certain"	"not negative; favorable, beneficially; explicit, clear; practical, not based on theory"	"несомненный, определенный; точный, положительный, достоверный, уверенный; абсолютный, позитивный; в полном смысле слова, принудительный [тех.]"
859	option	??p??n	options	"opportunity; decision; preference; alternative; choice; selection"	choice, alternative, possibility, selection, election	выбор, свобода выбора, вариант, опция, сделка с премией, средство
860	box	b??ks	"boxes; boxed; boxing"	"envelope; container; package; carton; pack; sachet"	"case; crate; small seating area in a theater; punch, hit; television"	"коробка, ящик, сундук; удар; ложа в театре; козлы, облучок; стойло; втулка, вкладыш, подшипник; рудничная уличная вагонетка"
861	huge	hy?ud?	"huger; hugest"	"enormous; colossal; giant; vast; massive; mammoth; gigantic; titanic"	very big, enormous, gigantic	огромный, громадный, гигантский
862	message	m??s?d?	messages	"memo; communication; point; idea; meaning; significance; implication; note; memorandum; letter"	"communication transmitted through a messenger, intimation; official speech or communication, announcement, notice; inspired words of a prophet or spiritual teacher; main point or moral meaning of a work (movie, picture, book, etc.)"	"сообщение, донесение, официальное правительственное послание; миссия; проповедь; идея"
863	instance	??nst?ns	"instances; instanced; instancing"	"insistence; example; order; command; occurrence; illustration; demand; request; case; occasion"	"occurrence, occasion; example, illustration; prosecution of a case (Law); (Archaic) urgency, pressing importance; (in object oriented programming) specific object of a class (executable file)"	"пример, образец; требование, просьба, настояние"
864	style	st?a?l	"styles; styled; styling"	"type; smartness; tailor; technique; chic; panache; sort; approach; variety; mode; cut; luxury; comfort; way; fashion; elegance; flair; shape; method; fashion; adapt; grandeur; design; manner; design; elegance; grace; form"	"manner, way; particular way of life (especially one that is luxurious); fashion, chic; vogue; ancient writing instrument; part of a pistil (Botany); stylet; slender pointed process (Zoology)"	стиль, слог, манера, направление, школа в искусстве, вкус, изящество, шик, блеск, фасон, покрой, мода, сорт, род, тип, титул, перо, карандаш, граммофонная иголка, гравировальная игла, игла
865	refer	r?f??	"refers; referred; referring"	submit	"send, direct; ascribe to, relate to; pertain to, apply to; call attention to, allude to"	посылать, отсылать, направлять, обращаться, наводить справку, справляться, приписывать, объяснять, относить, ссылаться, сослаться, упоминать, упомянуть, говорить, передавать на рассмотрение, иметь отношение, относиться
866	cold	k?o?ld	"colds; colder; coldest"	"chill; aloof; indifferent; freezing; frozen; frosty; winter; distant; wintry; chilly; cool; frost; formal; detached; coldness; bitter; frosty; arctic; remote; icy; unfeeling"	"chilly, cool, not warm; not affectionate, unfriendly; depressing; unconscious (Slang)cold (computer output to laser disc)"	холодный, неприветливый, мертвый, безучастный, равнодушный, фригидный, удручающий, слабый
867	push	p???	"pushes; pushed; pushing"	"impulse; vigor; force; shove; motivation; thrust; energy; goad; impulsion; impetus; force; impetus; drive; impel; boost; shove; back; momentum; ambition; induce; press; persuade; advocate; endorse; drive; exhort; thrust; urge; make; promote; ram; advance; plug"	"shove, thrust; urge, prod; apply pressure; promote an initiative; sell drugs"	"толкать, проталкиваться; подвинуть, подвигать; проталкивать; торопить, нажимать; притеснять; выдвигаться, продвигать, выдвигать; рекламировать; продавать наркотики"
868	quarter	kw??rt?	"quarters; quartered; quartering"	"district; section; part; house; neighborhood; sector; accommodate; section; lodge; area; billet"	"one fourth; neighborhood; coin worth 25 cents (used in USA and Canada); quadrant; period of three months; place, location; district, region; mercy, clemency"	четверть, монета в 25 центов, квартал, четверть часа, бег на четверть мили, четверть румба, кормовая часть корабля, деревянный четырехгранный брус, задник, четверть геральдического щита, сторона, квартира, стоянка, страна света, место, пост, пощада, прием, обхождение
869	assume	?s?um	"assumes; assumed; assuming"	"guess; feign; affect; suppose; fake; imagine; simulate; presuppose; presume; believe; think"	"surmise, suppose to be true (especially without proof); take on a position or duty; adopt an idea or cause"	"принимать, брать на себя; предпринимать; присваивать себе, узурпировать; предполагать, допускать; принимать характер; вступать, вступать в должность"
870	baby	b?e?bi	"babies; babied; babying"		"infant, very young child; honey, sweetie (term of endearment); childish person (Slang)"	"крошка, младенец, ребенок, малютка, дитя, детеныш, малыш, самый маленький, девочка; дорогая"
871	successful	s?ks??sf?l		"victorious; booming; unbeaten; triumphant; thriving; winning; flourishing; profitable; lucrative"	"having achieved success; having a positive outcome; prosperous, affluent, famous, having wealth and renown"	успешный, преуспевающий, удачный, удачливый
872	sing	s???	"sings; sang; singing; sung"		"utter words melodiously, make musical sounds with the voice (often with musical accompaniment); perform songs; chirp, whistle; buzz, whirr; inform, tattle, squeal (Slang)"	"петь, спеть, припевать; звенеть, свистеть, гудеть; воспевать, прославлять, ликовать; расколоться; доносить; стать стукачом"
873	doubt	d?a?t	"doubts; doubted; doubting"	"hesitation; qualm; disbelieve; disbelief; query; skepticism; question; distrust; misgiving; uncertainty; distrust; reservation; suspicion; mistrust; suspect"	misgiving, lack of certainty	сомнение
874	competition	k??mp?t????n	competitions	"clash; antagonism; struggle; war; struggle; rivalry; fight; contest; opposition; battle"	"rivalry, act of competing against another; contest"	соревнование, состязание, конкурс, соискание, встреча, конкуренция, конкурсный экзамен
875	theory	???ri	theories	"notion; conjecture; supposition; assumption; model; scheme; hypothesis; concept; speculation; premise; presumption; philosophy; system; idea; guess"	"coherent group of general assumptions, body of principles belonging to a certain subject; speculation, hypothesis"	теория, теоретические основы или принципы, необоснованное предположение
876	propose	pr?p?o?z	"proposes; proposed; proposing"	"offer; plan; purport; proposition; recommend; suggest; insinuate; intend; advise; mean; aim"	"suggest, recommend; tender; make an offer of marriage"	"предлагать, вносить предложение; выдвигать, представлять, провозглашать, предполагать; намереваться, делать предложение, загадывать"
877	reference	r??f??ns	"references; referenced; referencing"	"location; allusion; orientation; quotation; testimonial; citation; mention; indication; position; situation; note; recommendation; suggestion"	"comment, remark; ascription, relation; mention, allusion; regard; note that directs a reader to another source of information; supporting evidence taken from another book or publication"	"ссылка, упоминание, намек, сноска; справка; рекомендация, лицо; полномочия арбитра, полномочия инстанции; отношение; эталон"
878	argument	??rgy?m?nt	arguments	"quarrel; fight; dispute; case; contention; claim; row; spat; squabble; reason; disagreement"	"dispute; claim; rationale; cause; variable that is applied to a routine and determines the result of that routine (Computers)"	"довод, доказательство, аргумент; спор, дискуссия; краткое содержание; независимая переменная; параметр; переменная над которой производит действие программа [компьют.]"
879	adult	?d??lt	adults		mature, full grown	взрослый, совершеннолетний, зрелый, для взрослых
880	fly	fl?a?	"flies; flown; flying; flew"	"wing; flee; race; dash; flutter; escape; soar; rush; hurry"	"travel through the air; travel in an airplane; operate an airplane; make something travel through the air; flee; run; pass quickly; toss; cause to float or wave in the air; be waved; travel across or through (in flight)"	"летать, лететь, полететь, пролетать; нестись, проноситься, спешить; перемахнуть; развеваться (о флаге), развевать; спасаться бегством, удирать, улепетывать; облаять; пилотировать, поднимать (аэростат), переправлять грузы по воздуху, переправлять пассажиров по воздуху"
881	document	d??ky?m?nt	"documents; documented; documenting"	"record; record; essay; paper; certificate; authenticate; text; article; verify; file; detail; deed; manuscript"	"certificate, paper which provides information or evidence; deed, written file; data file containing the product of a user's work (Computers)"	"документ, свидетельство, текст; информационный файл содержащий результат работы пользователя [комп.]"
882	pattern	p??t?n	"patterns; patterned; patterning"	"prototype; guide; mold; design; precedent; imitate; outline; arrangement; plan; prefigure; copy; configuration; model; sample; blueprint; model; example; relationship; archetype; design; derive"	"sample; model, ideal; form, mold; shape, configuration; decorative design"	образец, пример, шаблон, форма, модель, система, выкройка, трафарет, характер, стиль, рисунок, узор
883	application	??pl?k?e???n	applications	"request; claim; submission; use; function; purpose; relevance; appliance; treatment; product; diligence; concentration; effort; attention; devotion"	"act of applying; request; implementation; persistence, diligence; (Computer) computer program designed to perform a specific task for a user or other application (e.g. word processor, spreadsheet, Web browser, etc.); preparation that soothes when applied to the skin, prepartion that has antiseptic or medicinal action when applied to the skin"	"заявление, заявка; прилежание, рвение; просьба, прошение; применение, применимость, употребление; приложение; прикладывание, старание; программное приложение [компьют.]"
884	hot	h??t	"hotter; hottest"	"excitable; angry; muggy; spicy; vehement; oppressive; strong; emotional; fervent; stifling; boiling; peppery; fiery; passionate; warm; strong; sweltering; intense; blistering; sultry; boiling; sizzling; searing; ardent; scorching; burning; scorching; stormy; piquant; pungent; fierce"	"very warm; spicy; that causes discussion, that causes controversy (such as a ""hot topic""); fresh; (of colors) very bright, intense (as a ""hot pink dress""); exciting, new; violent; zealous (about music etc.); (Slang) angry, furious (e.g.: ""Watch out, the boss is hot""); (Slang) stolen (e.g.: ""Tom has got some hot DVD machines""); (Slang) physically attractive"	"горячий, жаркий, накаленный; страстный, пылкий, темпераментный, разгоряченный, возбужденный; раздраженный; близкий к цели; острый, пряный, резкий; кричащий; теплый (о цвете); сладострастный, похотливый; опасный, бедовый; высокорадиоактивный; только что украденный или незаконно приобретенный"
885	obviously	??bvi?sli		"clearly; evidently; visibly; apparently; noticeably; perceptibly"		
886	unclear	?nkl??r		"doubtful; blurred; ambiguous; indistinct; undecided; imprecise; indistinguishable; uncertain; vague"	not clear, vague, obscure	неясный, непонятный
887	bill	b??l	"bills; billed; billing"	"debt; tab; invoice; statement; schedule; cost; proposition; price; check; receipt; amount; debit; measure; invoice; damage; law; fees; proposal; list; charge; sum; charge; document"	"bank note, promissory note; invoice; beak; snout; headland, promontory; proposed law"	"банкнот, вексель; счет; список, инвентарь, документ, билль, законопроект, программа; афиша, плакат, реклама, рекламный листок; клюв; узкий мыс; носок якоря [мор.]; садовые ножницы; секач, топор, топорик, алебарда"
888	search	s??t?	"searches; searched; searching"	"hunt; exploration; explore; pursuit; seek; investigate; hunt; quest; examination"	"seek, hunt for, look for; investigate, examine; penetrate; conduct an examination or investigation"	искать, поискать, исследовать, обыскивать, разыскивать, шарить, зондировать, проникать
889	separate	s??p??e?t	"separates; separated; separating"	"dispersed; split; single; undo; secede; distinct; withdraw; isolated; split; break; discrete; independent; unattached; individual; divide; detach; unconnected; discrete; detached; part; disconnect"	"segregate, set apart; split, divide; disconnect, detach; distinguish; partition; be taken apart, be set apart; be divided; withdraw"	"отделять, разъединять; разделять, развозить, отделяться; разъединяться, разделяться, расселяться; сортировать, отсеивать, разлучать; разнимать; разлучаться, отлучать, расходиться; разлагать [хим.]; увольнять, демобилизовывать"
890	central	s??ntr?l	centrals	"focal; middle; innermost; mid; significant; key; vital; fundamental; chief; predominant; main; essential; inner; crucial; principal; pivotal"	"main, principal; in or of the center"	расположенный в центре или недалеко от центра, центральный, главный, центровой
891	career	k???r	"careers; careered; careering"		"profession; fast run, gallop"	карьера, карьер, успех, жизненный путь, профессия, род деятельности, быстрое движение
892	anyway	??niw?e?		"anyhow; nevertheless; nonetheless; besides; well"	"at any rate, in any event; in any way, anyhow"	так или иначе, каким бы то ни было образом, во всяком случае, в любом случае, как-нибудь, кое-как
893	speech	sp?it?	speeches	"tongue; dialogue; dialect; talk; address; vocalizations; idiom; words; language; oration; communication; lecture; sermon; discourse; speaking; homily; discourse; talking; vernacular"	"speaking ability; something that is communicated orally, something that is spoken; dialogue, conversation; manner in which one speaks; dialect; study of oral communication"	"речь, речевая деятельность, дар речи; выговор, произношение, манера говорить; выступление, ораторское выступление, спич; язык, слова, диалект, говор, звучание, реплика"
894	dog	d??g	"dogs; dogged; dogging"	"afflict; harass; bother; trouble; plague; vex"	"canine, carnivorous animal from the family Canidae (especially the domesticated variety commonly kept as pets, trained to hunt, pull sleds, etc.); despicable or cowardly person (Informal)"	"собака, пес, псина, кобель; морская собака; легавый, стукач; подлец; железная подставка для дров в камине; зажим; собачка, курок"
895	officer	??f?s?	officers	"representative; bureaucrat; detective; officeholder; official; policewoman; administrator; executive"	"commander; policeman; appointee"	чиновник, служащий, должностное лицо, полицейский, офицер, офицерский состав, член правления, капитан торгового судна
896	throughout	?ru?a?t		during	in every part, at every point or moment	через, по всему, в продолжение
897	oil	???l	"oils; oiled; oiling"	"lubricate; grease"	"greasy liquid (derived from animal, vegetable, and mineral substances) that does not mix with water and is used for many purposes (i.e. food, fuel, lubrication, etc.); petroleum"	"растительное масло; нефть; смазочный материал, жидкая смазка; масляная краска; картина"
898	dress	dr??s	"dresses; dressed; dressing"		"put on clothing; put clothes onto another person; fall into line; prepare food for cooking; decorate"	"одевать, наряжать, одеваться, наряжаться; украшать, украшаться; приготовлять, приправлять; причесывать, делать прическу; перевязывать, перевязать; подстригать, подрезать, обрабатывать; унавоживать, удобрять; чистить, шлифовать"
899	profit	pr??f?t	"profits; profited; profiting"		"earnings, financial gain; benefit, avail; financial income; advantage, privilege"	польза, выгода, прибыль, доход, начисления, барыш, нажива, корысть
900	guess	g??s	"guesses; guessed; guessing"	"estimate; estimate; suppose; deduction; supposition; conjecture; conjecture; presumption; deduce; presume; speculation; speculate"	"suppose; hypothesize; conjecture"	догадываться, предполагать, угадывать, угадать, отгадать, считать, полагать, приблизительно определять
901	fun	f??n		"exuberance; enjoyable; enjoyment; entertainment; joy; entertaining; excitement; cool; pleasure; merriment; amusement; amusing; pleasurable"	laughter, entertainment, pleasure, amusement	веселье, забава, шутка, потеха
902	protect	pr?t??kt	"protects; protected; protecting"	"defend; safeguard; keep; guard; shield; shelter"	"defend, save from harm; watch over, guard"	защищать, охранять, оберегать, беречь, предохранять, ограждать, сберегать, проводить политику протекционизма, покровительствовать, акцептовать
903	resource	r?is?rs	resources	"reserve; supply; source; store"	"resourcefulness, ability to deal effectively with various situations;source of help; supply, stock; means of accomplishing a goal, expedient; resort"	"запас, ресурс, средство, возможность, способ; развлечение, находчивость, изобретательность"
904	science	s?a??ns	sciences	"discipline; art; skill; knowledge"	"system of knowledge gained by systematic research and organized into general laws; specific field of systematic knowledge; skill, proficiency"	наука, естественные науки, отрасль знания, техничность, ловкость, знание, умение
905	disease	d?z?iz	diseases		sickness, illness	болезнь, заболевание, недуг
906	balance	b??l?ns	"balances; balanced; balancing"	"settle; assess; calculate; consider; equilibrium; steadiness; total; compare; tally; surplus; weigh; evaluate; square; poise; remainder; residue; stability; rest; equalize"	"leveling; equal distribution of weight; stability; statement; scales; rest, remainder"	"весы; уравновешенность, равновесие; сальдо, остаток, баланс; противовес; маятник, балансир, балансировка"
907	damage	d??m?d?	"damages; damaged; damaging"	"wound; harm; dent; hurt; break; scratch; harm; mutilation; injury; hurt; destruction; injure; spoil; impairment"	"injury, harm; (Slang) expense, cost (e.g., ""What is the damage for the drinks we had at the bar?"")"	"вред, повреждение, убыток, ущерб; компенсация за убытки, стоимость"
908	basis	b?e?s?s	bases	"origin; root; footing; foundation; beginning; heart; base; core; source; center"	foundation, base	базис, основа, основание, база
909	author	????	"authoress; authors; authoresses"	"writer; dramatist; biographer; cause; creator; source; instigator; novelist; origin"	"writer, one who writes a book or other literary work; one who creates, one who originates"	автор, писатель, творец, создатель, сочинитель
910	basic	b?e?s?k		"straightforward; rudimentary; chief; prime; primitive; unsophisticated; essential; necessary; vital; major; indispensable; critical; principal; fundamental; important; simple; crucial; key; central; main; plain"	"fundamental; of or pertaining to a base, containing a base (Chemistry)"	основной, базисный, базовый, основный, основополагающий
911	encourage	?nk???d?	"encourages; encouraged; encouraging"	"advance; push; persuade; support; promote; cheer; further"	support, inspire, give hope	ободрять, приободрить, поощрять, поддерживать, подстрекать, потворствовать
912	hair	h??r	hairs	"pelt; fuzz; tresses; coat; fleece; mane; mane; beard; whiskers; curls; wool; locks; fur; mustache"	any of a number of fine filaments which grow from the skin of animals and humans	"волосы, шевелюра, волос; ворс, шерсть, щетина"
913	male	m?e?l	males		"of or pertaining to the male gender, masculine; made up of men"	мужской, охватываемый, входящий в другую деталь
914	operate	??p??e?t	"operates; operated; operating"	"control; manage; activate; work; direct; run; organize; function; run; maneuver; drive; conduct"	"act, function; manage, use, activate; perform surgery"	"действовать, работать; оперировать, производить операции, приводить в движение; управлять, заведовать, управляться; разрабатывать, эксплуатировать"
915	reflect	r?fl??kt	"reflects; reflected; reflecting"	"manifest; exhibit; contemplate; reveal; cogitate; reproduce; imitate; think; ruminate; replicate; suggest; display; show; return; echo; indicate; ponder; mirror; signal; expose; consider"	"mirror, send back a mirror image; send back energy from a surface; send back, cause to return; express, give a particular impression; contemplate, think"	отражать, давать отражение, отражаться, отображать, изображать, размышлять, раздумывать
916	exercise	??ks?s?a?z	"exercises; exercised; exercising"	"task; employ; training; use; essay; employment; application; use; effect; train; implement; problem; drill; implementation; assignment; apply"	"activate, apply, use; train; practice; instruct"	"упражнять, развивать, тренировать; осуществлять, выполнять; использовать, пользоваться; обучаться, проводить учение"
917	useful	y?usf?l		"beneficial; practical; helpful; constructive; handy; positive; valuable; advantageous; worthwhile; informative; convenient; expedient; effective; handy; functional; nifty"	functional, practical, applicable	полезный, пригодный, весьма похвальный, успешный, способный
918	restaurant	r??st???nt	restaurants		business where customers can purchase and eat meals	ресторан
919	income	??nk??m	incomes	"returns; takings; profits; earnings; earnings; wages; revenue; proceeds; pay; salary"	"amount of money received in payment for goods or services or from other sources; revenue, profits"	доход, заработок, поступление
920	property	pr??p?ti	properties	"possessions; land; chattels; assets; home; goods; acreage; belongings; house; estate"	"possessions, belongings; estate, assets; ownership; characteristic, attribute; prop used on-stage during a performance (Theater)"	"собственность, имущество; имение, поместье; добро; право собственности; свойство, качество; бутафория, реквизит, аксессуар"
921	previous	pr?ivi?s		"preceding; before; earlier; prior"	"earlier, prior, preceding, antecedent; hasty, premature, rash (Slang)"	предыдущий, предшествующий, преждевременный, поспешный, опрометчивый
922	dark	d??rk	"darker; darkest"	"threatening; bleak; dim; sad; murky; gloom; shadows; mysterious; darkness; gloomy; evil; shade; depressing; brown; dusk; dimness; shady; shadowy; brunette; gloomy; unhappy; night; sinister; obscurity"	"lacking light; deep, not pale; black, murky; vague, foggy, unclear"	"темный, черный, смуглый, темноволосый; дурной, нечистый, сомнительный; мрачный, угрюмый; печальный, безнадежный; неясный, непонятный; секретный, тайный; необразованный"
923	imagine	??m??d??n	"imagines; imagined; imagining"	"expect; dream; picture; presume; think; visualize; assume; envision; invent; suppose; envisage; see"	"create a mental image which does not literally exist, fantasize, visualize; think, suppose, assume; guess"	"воображать, представлять себе; предполагать, думать, полагать; догадываться, понимать; вообразить, вызывать в воображении, мнить"
924	okay	?o?k?e?	"okays; okayed; okaying"	"tolerable; acceptable; satisfactory; approve; sanction"		
925	earn	??n	"earns; earned; earning"		"receive as a result of work or other service performed, profit; be eligible, be worthy"	зарабатывать, наработать, приносить доход, заслуживать
926	daughter	d??t?	daughters		female offspring	дочь, порождение
927	post	p?o?st	"posts; posted; posting"	"column; placement; send; announce; pillar; job; forward; stake; publish; publicize; mail; pole; position; place; advertise; declare; marker; station; situation; dispatch"	"mail; column; opinion; role; doorpost; message sent to a newsgroup or mailing list (Computers); position, job placement"	"столб, стойка, подпорка; мачта, свая; почта, почтовое отделение, почтовый ящик, доставка почты; формат бумаги; положение, пост, должность, позиция; форт, гарнизон; блокпост, пульт управления"
928	newspaper	n?uzp?e?p?	newspapers		"daily or monthly news publication printed on large sheets of cheap paper, journal; company that publishes a newspaper; sheets of a newspaper (especially when used for something other than reading), newsprint"	газета
